bigram phrase,frequency
are standing,2
ill will,2
christ be,2
home i'll,2
the sky,2
support me,2
world strong,2
they told,2
you it's,2
i been,2
strong as,2
no grudges,2
to fix,2
glory to,2
them through,2
really happening,2
police and,2
not because,2
love of,2
you because,2
some very,2
so called,2
in spirit,2
should be,2
them too,2
be used,2
but as,2
face and,2
open up,2
for saving,2
innocent but,2
ms arnott,2
would ask,2
texas rangers,2
father we,2
and grief,2
right here,2
died fighting,2
this should,2
and said,2
must take,2
a short,2
will move,2
jesus forgive,2
country i,2
much as,2
by not,2
see each,2
of heaven,2
three persons,2
the problem,2
save the,2
everybody back,2
the hardest,2
this place,2
want nobody,2
friend to,2
prevail we,2
have supported,2
given a,2
me get,2
and never,2
on love,2
there has,2
the worst,2
letter to,2
do go,2
but there,2
there's no,2
getting me,2
has brought,2
live as,2
point where,2
them god,2
alright warden,2
this body,2
keep doing,2
and brothers,2
are looking,2
too late,2
anything this,2
punish me,2
to meet,2
if not,2
and some,2
any bitterness,2
gonna go,2
ya'll in,2
hope y'all,2
i read,2
no point,2
future you,2
don't bury,2
life a,2
dust i,2
things and,2
me one,2
a real,2
defense and,2
didn't get,2
shot him,2
by saying,2
you still,2
must stay,2
is i'm,2
go with,2
jesus precious,2
hate in,2
pain you,2
family tell,2
a free,2
lord thank,2
right and,2
righteousness for,2
ever and,2
first thing,2
point out,2
she would,2
be sad,2
angry at,2
yes first,2
me okay,2
seeing you,2
for human,2
ya'll know,2
from all,2
nine years,2
my case,2
that those,2
hope sometime,2
for allowing,2
donna and,2
you one,2
many years,2
me if,2
life this,2
wish and,2
this whole,2
brother you,2
two greater,2
just because,2
that what,2
never hollered,2
marcus rhodes,2
we die,2
situation that,2
cruel i,2
to work,2
hearts to,2
warden jones,2
ok i,2
again soon,2
may the,2
in one,2
my country,2
caused to,2
mary and,2
got your,2
is free,2
a god,2
are out,2
it he,2
bless everybody,2
hallelujah holy,2
ain't got,2
truth i,2
pray amen,2
goes to,2
especially the,2
too mom,2
death before,2
am to,2
home tonight,2
i deeply,2
coming from,2
make mistakes,2
say there,2
said hi,2
friends my,2
to clear,2
crying for,2
have committed,2
necessary we,2
viva mexico,2
not showing,2
always love,2
praise to,2
be free,2
end to,2
you happy,2
wish only,2
say the,2
will never,2
that life,2
as human,2
mighty god,2
uphold what,2
a bunch,2
sylvia my,2
years for,2
me because,2
to suffer,2
the genocide,2
and unto,2
can help,2
deserve i,2
there will,2
glory forever,2
the testimony,2
do your,2
turn your,2
give those,2
may they,2
has changed,2
people in,2
i lived,2
through and,2
not as,2
put up,2
mistake he,2
ya'll that's,2
this doesn't,2
on these,2
you remember,2
she has,2
a nice,2
can have,2
strong i'm,2
made in,2
ok you,2
and appreciate,2
robert mohammed,2
was telling,2
had known,2
the physical,2
caused a,2
over my,2
stop doing,2
her around,2
the district,2
upon the,2
taking the,2
talking about,2
what has,2
not easy,2
confess our,2
beat me,2
there tell,2
on keeping,2
and learn,2
her i,2
out some,2
row you,2
prison i,2
i'm dying,2
your time,2
there keep,2
they cannot,2
death is,2
finished i,2
a very,2
to walk,2
family you,2
people never,2
death of,2
there so,2
friendship thank,2
strong i'll,2
be good,2
in him,2
will wait,2
both you've,2
very serious,2
heart i'm,2
filled with,2
so the,2
couldn't stop,2
we came,2
much to,2
you y'all,2
happy are,2
stay out,2
written i,2
last long,2
everyone else,2
past it,2
thank father,2
i regret,2
ever had,2
taken from,2
you if,2
can bring,2
ever been,2
when we,2
you're the,2
belong unto,2
will open,2
and giving,2
an end,2
stuff i,2
too for,2
human being,2
closure to,2
today you,2
ya'll to,2
out this,2
sins he,2
and compassion,2
k dell,2
real sorry,2
struggle and,2
hate toward,2
find that,2
and something,2
them what,2
believe in,2
the face,2
in me,2
too my,2
of american,2
feel about,2
have met,2
my hour,2
you continue,2
could do,2
brings peace,2
daughters i,2
wrong for,2
done yes,2
have victory,2
or fashion,2
my side,2
do the,2
are they,2
us in,2
her life,2
this injustice,2
you dad,2
i shed,2
gave you,2
have lost,2
something very,2
years to,2
sins that,2
of tdcj,2
call me,2
what happens,2
only ask,2
can't hear,2
been blessed,2
but it,2
you didn't,2
to reach,2
me life,2
is ask,2
strength to,2
loves me,2
brings closure,2
thing is,2
loss i,2
the t,2
tell ya'll,2
till the,2
left to,2
been done,2
now that,2
people keep,2
they got,2
day and,2
and move,2
you mr,2
a big,2
only god,2
ahead warden,2
of men,2
warden love,2
you're going,2
has their,2
that showed,2
for years,2
am in,2
tragedy that,2
to cause,2
leads me,2
have lived,2
moving forward,2
best and,2
better and,2
and supporting,2
y'all always,2
thing and,2
executions we,2
i haven't,2
had some,2
they would,2
you deserve,2
shaka sankofa,2
and daddy,2
statement no,2
friends on,2
justice is,2
off my,2
brother be,2
and stuff,2
her remains,2
am sure,2
it i've,2
did you,2
love thank,2
sins and,2
statement omitted,2
love always,2
come up,2
innocent people,2
capital murder,2
other friends,2
he made,2
them it,2
do anything,2
a second,2
lie and,2
seat of,2
why you,2
me mom,2
hallowed be,2
and just,2
sticking with,2
civilized country,2
surely does,2
i'm happy,2
without me,2
touched me,2
and richard,2
anyway i,2
all who,2
find closure,2
first and,2
am paying,2
some peace,2
son of,2
come over,2
yourself i,2
my nieces,2
and me,2
the biggest,2
forgiveness all,2
anybody i,2
paul i,2
and who,2
be executed,2
the courts,2
smiling i,2
not been,2
to extend,2
work when,2
truly mean,2
made me,2
brought me,2
do so,2
the trouble,2
see her,2
for us,2
i'm finished,2
and uphold,2
in order,2
understand please,2
later i,2
is none,2
mr whiteside,2
always have,2
family take,2
keeping on,2
black power,2
if all,2
you bye,2
i owe,2
meant a,2
boswell and,2
it because,2
ya'll it's,2
stronger you,2
am coming,2
understand what,2
sake but,2
you now,2
the letters,2
just we,2
and mother,2
all on,2
bunch of,2
please continue,2
those are,2
every right,2
for affording,2
letters and,2
me peace,2
just remember,2
no sir,2
a one,2
a love,2
some instances,2
face of,2
that today,2
them but,2
and only,2
okay warden,2
if she,2
back it,2
here with,2
mom you,2
chris and,2
am finished,2
by thy,2
days to,2
love one,2
my whole,2
he leads,2
but when,2
please don't,2
faith we,2
once to,2
caused all,2
understand your,2
misery that,2
you dearly,2
carrying out,2
fellows on,2
heart will,2
family how,2
is justice,2
charge of,2
james boswell,2
kiss my,2
wish that,2
through with,2
a christian,2
life could,2
you should,2
k yes,2
pay it,2
by them,2
saying you,2
the next,2
right after,2
both sides,2
you sister,2
beautiful and,2
world the,2
me tonight,2
person now,2
of ways,2
can't bring,2
where the,2
on august,2
been my,2
just don't,2
nobody to,2
always told,2
not prayed,2
that people,2
words to,2
you soon,2
and one,2
row that,2
you oh,2
closure in,2
tonight please,2
but don't,2
daughter who,2
job for,2
you seek,2
did there,2
no cases,2
fix the,2
ya'll can,2
people listen,2
your eyes,2
rod and,2
me he,2
doesn't solve,2
do their,2
having to,2
innocent of,2
to save,2
forgive our,2
neither here,2
home when,2
guilty i,2
is everything,2
of yall,2
good family,2
know all,2
a heaven,2
i committed,2
people all,2
to thee,2
is still,2
mother give,2
they love,2
the hate,2
to begin,2
done warden,2
lots of,2
boswell was,2
show no,2
we've had,2
the devil,2
the greatest,2
no i,2
suffering and,2
when a,2
me lord,2
heart the,2
ya'll do,2
leave with,2
the prayers,2
family friends,2
god could,2
could change,2
my pen,2
towards me,2
who work,2
unintelligible that,2
statement i,2
even more,2
proud of,2
life tonight,2
spirit amen,2
cases killing,2
gonna miss,2
the us,2
die but,2
love him,2
good day,2
even have,2
blessing to,2
out like,2
isn't it,2
else i,2
to testify,2
is hatred,2
not from,2
hope one,2
celebrate my,2
ever going,2
lay here,2
did that,2
to lose,2
not hate,2
come down,2
her in,2
the unites,2
died and,2
hellip i,2
ya i,2
i accept,2
eardmann himself,2
could make,2
the help,2
i sincerely,2
going through,2
genocide and,2
back seat,2
i look,2
was the,2
few days,2
people black,2
ms irene,2
ever forget,2
okay and,2
to represent,2
so dearly,2
convicted me,2
lord praise,2
gene hawthorn,2
leave like,2
forgiveness there,2
my prayers,2
me their,2
chantal i,2
the human,2
i've had,2
touch each,2
just didn't,2
hang on,2
get out,2
great day,2
chaplain lopez,2
the murder,2
all good,2
on to,2
peace that,2
we live,2
am taking,2
telling you,2
am always,2
you pam,2
you heavenly,2
whole thing,2
girl i,2
you by,2
guess i,2
all things,2
ya'll and,2
record and,2
closure and,2
lord has,2
grant me,2
save my,2
they were,2
chaplain hart,2
know my,2
are killing,2
to shoot,2
he didn't,2
if this,2
wife and,2
side o,2
the american,2
allah will,2
long way,2
doing a,2
deal with,2
and told,2
pull the,2
everyone who,2
and glory,2
back in,2
same as,2
join my,2
and change,2
prayers i,2
best friend,2
no ill,2
everything to,2
me from,2
been wanting,2
yall for,2
anything wrong,2
you is,2
the courtroom,2
said to,2
man but,2
family first,2
the night,2
we shall,2
the attorney,2
them peace,2
say thanks,2
this one,2
say something,2
years if,2
been great,2
it jack,2
me off,2
sleep now,2
best for,2
demand a,2
i'm at,2
showed support,2
go yes,2
will look,2
every single,2
after tonight,2
hate no,2
here will,2
close to,2
it started,2
ya'll one,2
sins lord,2
everybody for,2
get it,2
my thoughts,2
only way,2
the chaplain,2
you pain,2
innocent innocent,2
you forever,2
doing what,2
keep it,2
of forgiveness,2
be but,2
am ok,2
do as,2
in yours,2
good things,2
he spoke,2
anthony graves,2
this gurney,2
sky and,2
family i'm,2
care about,2
father no,2
grateful for,2
happy that,2
words of,2
and hope,2
it like,2
everybody on,2
do a,2
innocent black,2
isn't right,2
more important,2
and y'all,2
me more,2
this for,2
can go,2
here the,2
up let,2
and our,2
not guilty,2
warden to,2
everything but,2
we refuse,2
that to,2
know in,2
she said,2
with that's,2
savior and,2
i knew,2
international court,2
behold your,2
that happened,2
will return,2
your back,2
your pain,2
thy staff,2
they say,2
blessed trinity,2
also the,2
i'll keep,2
be ok,2
upset about,2
and nobody,2
any other,2
matter how,2
ya'll again,2
extend to,2
that for,2
because we,2
young people,2
court you,2
in if,2
will pray,2
has shown,2
my sons,2
have thought,2
get over,2
who gave,2
gonna ask,2
ya'll see,2
a message,2
so so,2
to school,2
we keep,2
some i,2
you english,2
the lord's,2
was done,2
put my,2
for showing,2
been good,2
my name,2
i'm hoping,2
i saw,2
brother sister,2
okay i,2
on a,2
must move,2
not deserve,2
the prison,2
but that,2
good friend,2
confessed to,2
some day,2
an angry,2
killing innocent,2
accept my,2
strong in,2
my situation,2
in each,2
then this,2
put your,2
court i,2
don't deserve,2
along with,2
extend our,2
her that,2
over with,2
at some,2
my special,2
christ in,2
the supreme,2
that wall,2
you that's,2
sentence to,2
but ah,2
the violence,2
bless everyone,2
this damn,2
like that,2
is her,2
we make,2
cousins and,2
heart goes,2
you from,2
time is,2
family goodbye,2
faithful and,2
didn't deserve,2
what counts,2
meet again,2
don't let,2
forgiving me,2
hold your,2
hear you,2
become my,2
be mad,2
just know,2
everybody tell,2
continue on,2
carry on,2
children i,2
lord forgive,2
all very,2
that just,2
life right,2
friendship and,2
they need,2
i command,2
caused my,2
your arrival,2
paid the,2
continue with,2
helped her,2
it be,2
to myself,2
the execution,2
to memorize,2
your spirit,2
a hug,2
during my,2
not in,2
help me,2
brothers to,2
grandmother i,2
are innocent,2
is done,2
hurt and,2
and continue,2
my sake,2
is being,2
killing of,2
he died,2
shoot the,2
texas justice,2
for getting,2
the nation,2
almighty that,2
her ros,2
your lies,2
killed anybody,2
those of,2
did everything,2
bump ba,2
life father,2
strong thank,2
warden murder,2
you not,2
this thing,2
liberation by,2
swear to,2
bless them,2
towards anyone,2
a system,2
long i,2
all probably,2
i realize,2
my two,2
to life,2
glad i,2
people the,2
didn't last,2
have hurt,2
taken i,2
that point,2
this but,2
great loss,2
up at,2
has never,2
forgiven by,2
penalty i,2
fight for,2
you let,2
friend of,2
is because,2
of our,2
hate the,2
to join,2
the line,2
killed your,2
not get,2
be to,2
my truth,2
forgotten and,2
i only,2
my aunt,2
please be,2
is infinite,2
thy i,2
aunt and,2
over to,2
or my,2
answers i,2
altered records,2
more i,2
refuse to,2
promises that,2
one you,2
this as,2
am guilty,2
closure or,2
judge the,2
girl love,2
what we,2
you all's,2
surely as,2
done or,2
devil to,2
dearly and,2
everything god,2
not all,2
suffered a,2
it's bad,2
shine let,2
be on,2
the facts,2
chief neal,2
taking place,2
of jesus,2
tell everybody,2
always with,2
struggle going,2
him and,2
his forgiveness,2
before dishonor,2
mercy for,2
me how,2
then he,2
counts in,2
to struggle,2
of fear,2
you chantal,2
the fact,2
be forgiven,2
my salvation,2
amen i'm,2
affording me,2
forgiveness lord,2
pinkerton said,2
my smile,2
can learn,2
alright yes,2
time and,2
the government,2
a fair,2
we should,2
not crying,2
to protect,2
any kind,2
reason why,2
can all,2
say they,2
take responsibility,2
not an,2
mind but,2
sometime in,2
are in,2
has not,2
done nothing,2
some cases,2
of faith,2
brother in,2
dell you,2
not over,2
this the,2
i've never,2
lives and,2
people know,2
bring your,2
thankful for,2
same person,2
home dad,2
form or,2
happen and,2
the community,2
actions have,2
man you,2
avenged it,2
them i'll,2
has got,2
work here,2
was upset,2
not forgotten,2
showing me,2
been in,2
amp mrs,2
wanted you,2
eyes on,2
light shine,2
of mistakes,2
my wish,2
prove my,2
and gave,2
kill but,2
whiteside and,2
thank him,2
ya'll stay,2
have showed,2
to profanity,2
my power,2
and try,2
wish everybody,2
known i,2
find forgiveness,2
just give,2
easy for,2
my mind,2
those years,2
state sanctioned,2
nothing more,2
blood on,2
so long,2
family here,2
you hope,2
booger bear,2
as he,2
in peace,2
jesus alone,2
just fine,2
you did,2
went home,2
situation i,2
i'm an,2
me that's,2
know it's,2
down the,2
which was,2
to learn,2
that supported,2
will stop,2
everyone here,2
nor there,2
everyone on,2
of islam,2
will bless,2
because you,2
understand why,2
at that,2
officers that,2
some closure,2
me y'all,2
incident happened,2
allah is,2
the prophet,2
must carry,2
on your,2
a needle,2
irene thank,2
all may,2
i beg,2
law suit,2
god yes,2
system does,2
i charge,2
stop this,2
feel like,2
it happens,2
after all,2
told them,2
human beings,2
this death,2
murder him,2
strong yes,2
face to,2
we confess,2
sorry forgive,2
supporters and,2
to send,2
family than,2
them on,2
me like,2
father that,2
strong warden,2
you closure,2
not come,2
him in,2
won't matter,2
this tell,2
had i,2
everything and,2
up with,2
that may,2
was beautiful,2
in i,2
regret what,2
the closure,2
death for,2
a drug,2
care i'm,2
said he,2
don't hold,2
the streets,2
name on,2
any man,2
and with,2
hallowed by,2
their father,2
us there,2
nothing personal,2
my lawyers,2
well first,2
not work,2
and mama,2
are some,2
said from,2
good fight,2
is there,2
not think,2
see with,2
address you,2
my enemies,2
officers and,2
years now,2
lie i,2
dad and,2
as much,2
mourn my,2
all when,2
and nothing,2
their friendship,2
and misery,2
don't come,2
no fear,2
keep moving,2
hurting my,2
mercy jesus,2
a lynching,2
ya'll be,2
will leave,2
'cause i,2
someday i,2
shed tears,2
solve anything,2
a living,2
the mistake,2
lord be,2
only one,2
i'm very,2
my voice,2
life my,2
glory for,2
or that,2
rejoice and,2
take your,2
tell mom,2
i owed,2
touch your,2
know when,2
bring me,2
innocent children,2
do you,2
problems and,2
other again,2
people must,2
respect for,2
be faking,2
i swear,2
can get,2
that without,2
just can't,2
sister my,2
where are,2
is up,2
we as,2
dear lord,2
behalf of,2
your not,2
is life,2
lot more,2
whom i,2
row thank,2
grew up,2
have brought,2
you put,2
doing alright,2
eyed hunting,2
america this,2
people they,2
disappointed that,2
life without,2
on their,2
thomas mason,2
waiting on,2
kenney and,2
16 years,2
love forgive,2
though they,2
america tonight,2
and heartache,2
no longer,2
house we,2
get all,2
though i'm,2
polunsky unit,2
is waiting,2
and of,2
king of,2
the true,2
the jury,2
all how,2
and forever,2
hold my,2
not what,2
made and,2
have is,2
heart thank,2
this way,2
strong they,2
guys have,2
were just,2
hold it,2
but a,2
i helped,2
about i,2
toward anyone,2
will do,2
sara and,2
me not,2
is really,2
you sis,2
anger i,2
god be,2
um i,2
mistake that,2
time in,2
peace through,2
up here,2
sister and,2
command my,2
that don't,2
warden that,2
hard for,2
husband jack,2
it goodbye,2
of mexico,2
the fullest,2
hold tight,2
down on,2
be made,2
have any,2
do but,2
dow you,2
for ya'll,2
on both,2
turned out,2
ones this,2
the gates,2
mean that,2
will say,2
is finished,2
pass on,2
have life,2
the chance,2
uncle kyle,2
promise to,2
to touch,2
die for,2
dear heavenly,2
spirit to,2
an attorney,2
y'all find,2
me throughout,2
one witness,2
death but,2
that everyone,2
free i,2
can live,2
most importantly,2
the gift,2
anything but,2
years there,2
omitted due,2
all go,2
portion of,2
would pay,2
one eyed,2
the hurt,2
this you,2
out in,2
about he,2
sorry ya'll,2
in fact,2
same thing,2
this opportunity,2
together i,2
state and,2
will win,2
their family,2
america that,2
am thankful,2
you okay,2
out i,2
world that,2
speaking in,2
some point,2
my friend,2
the trigger,2
a victim,2
don't find,2
really don't,2
family stay,2
work on,2
them being,2
a dna,2
first off,2
family thanks,2
represent you,2
te quiero,2
officers of,2
our children,2
here nor,2
black folks,2
strong now,2
in law,2
texas i,2
make is,2
be saved,2
also a,2
smile and,2
of ms,2
it surely,2
was something,2
stood up,2
here present,2
appreciate y'all,2
me up,2
only witness,2
bless and,2
change it,2
thought about,2
forward we,2
don't ever,2
punished for,2
talked to,2
my baby,2
here we,2
let all,2
the front,2
born to,2
error free,2
where they,2
killed me,2
be the,2
heaven with,2
that some,2
hope god,2
myself to,2
together again,2
tell your,2
know anything,2
am disappointed,2
any more,2
guess the,2
her tell,2
was wrong,2
know not,2
this here,2
of an,2
that hate,2
someday you,2
no anger,2
not sad,2
get a,2
hollow and,2
been that,2
live think,2
if your,2
us lord,2
have closure,2
it that,2
i'm dead,2
know they,2
if they,2
you brad,2
you comfort,2
blame for,2
great love,2
power keep,2
my first,2
momma don't,2
anyone else,2
west family,2
very special,2
that someday,2
and anger,2
all please,2
it or,2
did the,2
soul lord,2
tell mr,2
responsible and,2
not bring,2
me even,2
warden can,2
not nice,2
with y'all,2
sorry yes,2
message to,2
stop killing,2
about all,2
agree with,2
him my,2
and people,2
came into,2
attorney can,2
before it's,2
it first,2
you turn,2
her she,2
to society,2
a parent,2
final statement,2
those promises,2
i sent,2
much pain,2
hunting dog,2
this conviction,2
this this,2
can kill,2
and joy,2
thought of,2
doing is,2
for sending,2
where it,2
and jack,2
they can't,2
your blessing,2
as surely,2
we had,2
to speak,2
and forgiveness,2
give in,2
each of,2
me yes,2
in three,2
it feels,2
knows the,2
have love,2
hatred and,2
fair trial,2
are real,2
please do,2
murder me,2
bye i,2
take and,2
y'all stay,2
cause i,2
me strong,2
up your,2
me remember,2
angry but,2
disappoint me,2
merciful to,2
kill anyone,2
happiness i,2
when they,2
into his,2
i ran,2
my apology,2
human race,2
worry i,2
will help,2
be happy,2
of having,2
place where,2
love love,2
truly truly,2
and can't,2
have put,2
same house,2
hey how,2
comfort me,2
before you,2
have all,2
a mother,2
i'm through,2
god's children,2
them my,2
a day,2
me was,2
teaching me,2
help and,2
statement that,2
with his,2
bad things,2
their struggle,2
we grew,2
a wonderful,2
i asked,2
your husband,2
of peace,2
more that,2
enough to,2
my witnesses,2
going the,2
police car,2
stand together,2
renee i,2
of righteousness,2
you showed,2
man like,2
protect and,2
family ah,2
all but,2
or bitter,2
instead of,2
can understand,2
don't forgive,2
ride i,2
to stand,2
have beat,2
against no,2
the cross,2
one more,2
somebody will,2
life not,2
such a,2
nothing fake,2
how you,2
sentence for,2
and help,2
anybody that,2
without you,2
a mexican,2
we tell,2
call this,2
warden that's,2
justice this,2
god's love,2
it thank,2
i needed,2
it could,2
so this,2
y'all peace,2
us if,2
sure you,2
momma and,2
time again,2
daddy i,2
place for,2
uh i,2
heaven please,2
thank her,2
walk to,2
fighting for,2
sorry but,2
the ways,2
sir warden,2
mrs cox,2
you died,2
is taking,2
my past,2
him praise,2
walsh for,2
your will,2
with any,2
i died,2
their job,2
honor i,2
say warden,2
nov 11,2
such as,2
world but,2
me it's,2
i miss,2
no kin,2
up out,2
god gives,2
got no,2
persons blessed,2
unites states,2
here in,2
life we,2
again thank,2
johnson i,2
always stay,2
their peace,2
do do,2
for carl,2
and foremost,2
mrs kenney,2
lynching that,2
prove that,2
anything about,2
is out,2
do and,2
the newspaper,2
the grave,2
apology i,2
grace i,2
you always,2
can't imagine,2
life the,2
thy rod,2
wonderful you,2
change things,2
people have,2
say yes,2
for myself,2
sister for,2
other than,2
it comes,2
tears of,2
hate i,2
have so,2
until i,2
statement yes,2
times people,2
heaven for,2
donna vick,2
say you,2
10 years,2
and killing,2
precious name,2
come here,2
bring you,2
son that,2
crime is,2
spirit i,2
this was,2
blessing you,2
wall and,2
am saved,2
wasn't going,2
lord yes,2
is hard,2
where i'm,2
to pass,2
convicted of,2
because it,2
this statement,2
families i,2
come and,2
the fellows,2
row stay,2
was raised,2
gone through,2
you father,2
when an,2
worth nothing,2
between you,2
the big,2
out that,2
much love,2
really believe,2
right with,2
officers i,2
i prayed,2
the flesh,2
long journey,2
wanted me,2
i shot,2
the victim,2
i lie,2
home with,2
father father,2
and thy,2
see your,2
there that's,2
go forward,2
for sticking,2
jesus this,2
see that,2
let everybody,2
need any,2
save me,2
go lord,2
and stop,2
penalty as,2
allowed the,2
amen yes,2
because he,2
this pain,2
else was,2
be together,2
say about,2
lives to,2
i extend,2
that need,2
put the,2
officer who,2
and those,2
god who,2
forgotten to,2
my spiritual,2
ready when,2
others who,2
look into,2
look for,2
a human,2
and changed,2
forgiveness from,2
best all,2
world you,2
system is,2
point in,2
better family,2
will prevail,2
father's house,2
right but,2
the fight,2
could save,2
support this,1
documents on,1
sad today,1
these two,1
real that's,1
what state,1
ideals i,1
three and,1
shortly i,1
up hope,1
maurie michael,1
parent i,1
100 years,1
can't replace,1
to killing,1
by this,1
lethal drug,1
it touched,1
getting the,1
the videotape,1
know there,1
be all,1
killing start,1
just sit,1
man in,1
life everything,1
bottom fell,1
the yard,1
ready please,1
row community,1
have blood,1
carla fran,1
y'all but,1
for anyone,1
me sorry,1
called today,1
power to,1
years be,1
hoping somebody,1
helps his,1
words would,1
stuff and,1
nancy kathy,1
ya'll remember,1
warden shelby,1
consciousness always,1
reverend whiteside,1
the truck,1
herz and,1
is if,1
representing me,1
i ramiro,1
fake i've,1
alba loves,1
right about,1
27th where,1
giving my,1
brought sorrow,1
your word,1
salaamu amen,1
again like,1
going you,1
me another,1
just wonder,1
that committed,1
and holy,1
as witnesses,1
amber i,1
murdering kinslow,1
brenda and,1
just in,1
and sanctions,1
or enjoied,1
suffer as,1
testified the,1
guys to,1
boy sylvia,1
his grace,1
know allah,1
a c,1
loose this,1
his reputation,1
seek freedom,1
violent man,1
personal i,1
dna test,1
drowned jose,1
i brought,1
someone tried,1
supporters anne,1
becca do,1
hellip then,1
things my,1
fact that,1
love looking,1
kindness and,1
strong lord,1
you shalt,1
believeth in,1
i truely,1
solid ground,1
it's affecting,1
didn't agree,1
decisions affect,1
yes my,1
will ask,1
of time,1
where's mr,1
of terrell,1
to dispose,1
brother anderson,1
is his,1
deception your,1
somebody you,1
still at,1
make witnesses,1
somewhere better,1
the tables,1
of course,1
my momma,1
come through,1
nor any,1
saved through,1
to shout,1
gus i,1
will remember,1
in god,1
helps i,1
good men,1
heart forever,1
there do,1
cleve foster,1
there tom,1
fire chief,1
between a,1
brought closure,1
confession because,1
called them,1
chelsea danny,1
us that,1
man told,1
green grass,1
for is,1
can't execute,1
brother gerard,1
and there's,1
glad you,1
i spoke,1
her it's,1
potential but,1
strong doreen,1
i'll smile,1
steve and,1
staying by,1
to ms,1
now i'm,1
a fight,1
kaneisha and,1
taylor with,1
these wonderful,1
would all,1
cindy to,1
care give,1
my memory,1
always wanted,1
nothing continue,1
the holy,1
it our,1
evidently the,1
hawthorn was,1
guiding me,1
were anyone,1
amy's sister,1
upset and,1
love every,1
throne i,1
so loved,1
cry don't,1
bring some,1
taking responsibility,1
was trying,1
lord you,1
tommy i,1
am praying,1
taking my,1
across my,1
idle threats,1
enemies i,1
avenge this,1
respect gabrielle,1
short brief,1
unforgivesness within,1
hearted person,1
little part,1
ya'll evelyn,1
to pay,1
have called,1
killed and,1
say here,1
you melyssa,1
way the,1
best love,1
loving stop,1
just heinous,1
strong stay,1
you sara,1
you spanish,1
por todo,1
only begotten,1
be fixed,1
way no,1
punishment and,1
other stay,1
not saying,1
car and,1
professed my,1
live by,1
knew who,1
contigo mi,1
charlie steve,1
all hellip,1
later we,1
in no,1
there i'll,1
them okay,1
aside don't,1
facts when,1
for almost,1
god i'll,1
trigger it's,1
linda i,1
come god,1
beat in,1
francis god's,1
who they,1
innocence because,1
says that,1
few times,1
and chooses,1
the evil,1
allow ambitions,1
that appear,1
bickering god,1
nothing for,1
best blessings,1
you harold,1
tell brother,1
lesson your,1
live in,1
did may,1
written there,1
cross ya'll,1
god pass,1
our god,1
don't hang,1
empty after,1
up claims,1
bye yall,1
family's eyes,1
dow let,1
strange love,1
yes for,1
guys don't,1
murder and,1
hope for,1
sending your,1
we're doing,1
their guilt,1
gonna do,1
about helping,1
consulado te,1
right has,1
veronica's sister,1
brothers all,1
real or,1
all over,1
falicia prechtl,1
10 minutes,1
matched me,1
should die,1
hospitality yes,1
much god,1
okay to,1
est sularus,1
yes from,1
for always,1
have found,1
yaws junie,1
that killing,1
car the,1
chaplain to,1
support uncle,1
god amen,1
no such,1
my record,1
the veins,1
it stops,1
why it,1
owen you,1
bestow peace,1
words officer,1
humanity we,1
my word,1
celebrating life,1
owed him,1
loving to,1
truly repentant,1
god's dust,1
although it,1
and leaving,1
future because,1
family murder,1
family through,1
follow we,1
fall for,1
gift of,1
bring kim,1
amanda um,1
me go,1
and chief,1
and supporters,1
our lord,1
system and,1
a specific,1
members who,1
break up,1
rusty jenny,1
sinners on,1
my arms,1
tell beth,1
dearly to,1
made poor,1
shameful mistake,1
innocent especially,1
only through,1
event approach,1
settle your,1
for disrespect,1
want and,1
is girl,1
their gonna,1
texas people,1
although my,1
attorney said,1
baby all,1
and kill,1
and louis,1
responsibility fro,1
am due,1
all one,1
after meeting,1
was actually,1
fruit of,1
point of,1
christianity in,1
come about,1
was sick,1
your ancient,1
am giving,1
care love,1
give a,1
got reason,1
guilt all,1
jones dad,1
blame but,1
for counseling,1
and from,1
for closure,1
using me,1
ya'll make,1
i 'll,1
quit worrying,1
me parole,1
k i'm,1
earth and,1
lord a,1
aubrey hawkins,1
poem when,1
been for,1
sincere thanks,1
heaven that,1
gang member,1
don't fail,1
beyond fail,1
mexico hellip,1
see anyone,1
took them,1
i'm in,1
meet now,1
without love,1
from california,1
her with,1
faults and,1
to use,1
mi familia,1
galloway who,1
taking i,1
are ever,1
spoke in,1
finite time,1
people think,1
thy works,1
people like,1
those involved,1
to amy's,1
no wrong,1
a new,1
although you,1
the arguments,1
for peace,1
with hatred,1
ya'lls pain,1
or wrong,1
warden terella,1
ear and,1
because to,1
kathy chaplain,1
let god,1
ass i'm,1
they overcome,1
tonight based,1
prechtl whom,1
1 7,1
wholeheartedly in,1
gave warden,1
with both,1
the black,1
for doing,1
and judy,1
all learn,1
texas all,1
know a,1
office and,1
off of,1
moreno from,1
couldn't be,1
the lost,1
sir ernest,1
of gaylene,1
in anticipation,1
so that's,1
not put,1
yours you,1
remorse but,1
completely unforgivable,1
or stay,1
back a,1
someone if,1
world push,1
seek a,1
wasn't your,1
marching keep,1
take all,1
forced her,1
day for,1
let's see,1
is death,1
god take,1
beautiful people,1
plan for,1
christ cause,1
of law,1
my greatest,1
them please,1
alright with,1
chaplain thank,1
that even,1
been able,1
sarah grandma,1
else please,1
you ya'll,1
destruct you,1
statement talked,1
nation i,1
end with,1
theirs you,1
for mom,1
that cheated,1
helping those,1
we treat,1
are above,1
it goes,1
not about,1
